IMDB_ID,name,year,IMDB_rating,IMDB_url,BECHDEL_rating,RT_rating,RT_USER_rating,runtime,checktitle,source
83944,First Blood,1982,7.7,http://www.imdb.com/title/tt0083944/,0,3,85,93,First Blood,First.Blood.1982.DVDRip.x264-DJ.mkv
86066,The Outsiders,1983,7.2,http://www.imdb.com/title/tt0086066/,2,,,91,The Outsiders,The.Outsiders.DC.1983.DVDRip.x264.mkv
86250,Scarface,1983,8.3,http://www.imdb.com/title/tt0086250/,1,4,94,170,Scarface,Scarface.1983.HDTV.720p.H264.mp4
86190,Star Wars Episode VI Return of the Jedi,1983,8.4,http://www.imdb.com/title/tt0086190/,1,4,95,134,Star Wars: Episode VI - Return of the Jedi,Star.Wars.Episode.VI.Return.of.the.Jedi.1983.BluRay.720p.H264.mp4
86879,Amadeus,1984,8.3,http://www.imdb.com/title/tt0086879/,3,3,95,160,Amadeus,Amadeus.1984.BDRip.x264-DJ.mkv
87843,Once Upon a Time in America,1984,8.4,http://www.imdb.com/title/tt0087843/,1,4,94,229,Once Upon a Time in America,Once.Upon.a.Time.in.America.1984.DVDRip.x264-DJ.mkv
88178,Stop Making Sense,1984,,http://www.imdb.com/title/tt0088178/,,,,,,Stop.Making.Sense.1984.720p.BluRay.FLAC.5.1.x264.mkv
88763,Back to the Future,1985,8.5,http://www.imdb.com/title/tt0088763/,2,3,94,116,Back to the Future,Back.to.the.Future.1985.BDRip.x264-DJ.mkv
90605,Aliens,1986,8.5,http://www.imdb.com/title/tt0090605/,3,3,94,137,Aliens,Aliens.1986.BDRip.x264-DJ.mkv
93058,Full Metal Jacket,1987,8.3,http://www.imdb.com/title/tt0093058/,0,4,94,116,Full Metal Jacket,Full.Metal.Jacket.1987.BDRip.x264-DJ.mkv
93773,Predator,1987,7.8,http://www.imdb.com/title/tt0093773/,0,3,87,107,Predator,Predator.1987.DVDRip.x264-DJ.mkv
92890,Dirty Dancing,1987,6.9,http://www.imdb.com/title/tt0092890/,3,3,90,100,Dirty Dancing,Dirty.Dancing.1987.BDRip.x264-DJ.mkv
93779,The Princess Bride,1987,8.1,http://www.imdb.com/title/tt0093779/,2,4,95,98,The Princess Bride,The.Princess.Bride.1987.BluRay.480p.H264.mp4
95016,Die Hard,1988,8.2,http://www.imdb.com/title/tt0095016/,3,3,94,132,Die Hard,Die.Hard.1988.720p.BRRip.x264-x0r.mkv
95765,Cinema Paradiso,1988,8.5,http://www.imdb.com/title/tt0095765/,1,4,97,155,Cinema Paradiso,Cinema.Paradiso.1988.REMASTERED.720p.mkv
100263,La Femme Nikita,1990,7.4,http://www.imdb.com/title/tt0100263/,3,3,84,117,La Femme Nikita,La.Femme.Nikita.1990.BluRay.720p.H264.Dual.Audio.mp4
99348,Dances with Wolves,1990,,http://www.imdb.com/title/tt0099348/,1,,,,Dances with Wolves,Dances.with.Wolves.DC.1990.720p.BluRay.x264.YIFY.mp4
99685,Goodfellas,1990,8.7,http://www.imdb.com/title/tt0099685/,3,4,97,146,Goodfellas,Goodfellas 1990 720p BRRip AC3 x264-MacGuffin.mkv
100405,Pretty Woman,1990,6.9,http://www.imdb.com/title/tt0100405/,3,3,68,119,Pretty Woman,Pretty.Woman.1990.Bluray.720p.H264.mp4
102926,The Silence Of The Lambs,1991,8.6,http://www.imdb.com/title/tt0102926/,3,4,95,118,The Silence of the Lambs,The.Silence.Of.The.Lambs.1991.BluRay.720p.H264.mp4
103074,Thelma and Louise,1991,7.4,http://www.imdb.com/title/tt0103074/,3,3,82,130,Thelma & Louise,Thelma.and.Louise.1991.BluRay.720p.H264.mp4
103064,Terminator 2,1991,8.5,http://www.imdb.com/title/tt0103064/,3,3,94,137,Terminator 2: Judgment Day,Terminator.2.Judgement.Day.1991.720p.bluray.x264.mkv
105236,Reservoir Dogs,1992,8.4,http://www.imdb.com/title/tt0105236/,0,4,94,99,Reservoir Dogs,Reservoir.Dogs.1992.720p.BluRay.DD5.1.x264.mkv
103893,Buffy the Vampire Slayer,1992,5.6,http://www.imdb.com/title/tt0103893/,3,2,43,86,Buffy the Vampire Slayer,Buffy.the.Vampire.Slayer.1992.BluRay.720p.H264.mp4
108052,Schindlers List,1993,8.9,http://www.imdb.com/title/tt0108052/,3,4,97,195,Schindler's List,Schindlers.List.1993.DVDRip.x264-DJ.mkv
109830,Forrest Gump,1994,8.8,http://www.imdb.com/title/tt0109830/,1,4,95,142,Forrest Gump,Forrest.Gump.1994.BluRay.720p.H264.mp4
111161,The Shawshank Redemption,1994,9.3,http://www.imdb.com/title/tt0111161/,0,4,98,142,The Shawshank Redemption,The.Shawshank.Redemption.1994.BluRay.720p.H264.mp4
110912,Pulp Fiction,1994,8.9,http://www.imdb.com/title/tt0110912/,3,4,96,154,Pulp Fiction,Pulp.Fiction.1994.BluRay.720p.H264.mp4
110322,Legends of the Fall,1994,7.5,http://www.imdb.com/title/tt0110322/,3,3,,133,Legends of the Fall,Legends.of.the.Fall.1994.Bluray.480p.H264.mp4
110413,Leon The Professional,1994,8.6,http://www.imdb.com/title/tt0110413/,3,4,95,110,Léon: The Professional,Leon.The.Professional.1994.Dir.Cut.BluRay.720p.H264.mp4
114814,The Usual Suspects,1995,8.6,http://www.imdb.com/title/tt0114814/,1,4,96,106,The Usual Suspects,The.Usual.Suspects.1995.BluRay.720p.x264.mkv
114369,Se7en,1995,8.6,http://www.imdb.com/title/tt0114369/,1,4,95,127,Se7en,Se7en.1995.REMASTERED.BluRay.720p.H264.mp4
112697,Clueless,1995,6.8,http://www.imdb.com/title/tt0112697/,3,2,0,97,Clueless,Clueless.1995.BluRay.720p.H264.mp4
112573,Braveheart,1995,8.4,http://www.imdb.com/title/tt0112573/,2,3,85,178,Braveheart,Braveheart.1995.1080p.BluRay.x265.10bit-z97.mkv
